what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1344318457365
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1344318457793
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1344318457801
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1344318457974
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1344318458664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344318460518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344318601472
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344318602668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344318606247
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1344318609388
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1344318609661
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1344318609790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344318611874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344318636079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344318636987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344318637886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344318679459
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344318691037
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344318691098
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1344318691178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344318771192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344318860818
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344318889657
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344318889669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344318895538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344318920997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344403697747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344403697944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344403699580
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344403700036
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1344403711646
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1344403712948
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1344403712984
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1344403712999
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1344403713051
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1344403713071
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1344403713091
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1344403713144
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1344403713144
